2016-10-28 14:47:49.8324 INFO 正常 - job1接口调用开始！
2016-10-28 14:47:58.1299 INFO 正常 - 获取文件目录成功
2016-10-28 14:47:58.4939 INFO 正常 - D:\WorkFiles\AMS\Codes\WindowsService\trunk\DJS_Service\ServiceTest\bin\Debug\JobFiles\job1\Temp_DaylReportSum.xlsx
2016-10-28 14:48:18.0400 INFO 正常 - 门店上海宝山盘古路店开始写入日报表
2016-10-28 14:48:18.9781 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表数据开始写入
2016-10-28 14:48:18.9781 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型1数量0.00
2016-10-28 14:48:19.0271 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型2数量610.00
2016-10-28 14:48:19.0421 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型3数量0.00
2016-10-28 14:48:19.0551 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型4数量300.00
2016-10-28 14:48:19.0551 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型5数量0.00
2016-10-28 14:48:19.0711 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型6数量0.00
2016-10-28 14:48:19.0851 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型7数量0.00
2016-10-28 14:48:19.0851 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型8数量0.00
2016-10-28 14:48:19.1011 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型9数量0.00
2016-10-28 14:48:19.1011 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型10数量0.00
2016-10-28 14:48:19.1171 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型11数量900.00
2016-10-28 14:48:19.1171 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型30数量0.00
2016-10-28 14:48:19.1171 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型31数量0.00
2016-10-28 14:48:19.1351 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型32数量0.00
2016-10-28 14:48:19.1351 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型33数量0.00
2016-10-28 14:48:19.1491 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型34数量0.00
2016-10-28 14:48:19.1491 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型35数量0.00
2016-10-28 14:48:19.1491 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型36数量0.00
2016-10-28 14:48:19.1661 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型37数量0.00
2016-10-28 14:48:19.1661 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型38数量0.00
2016-10-28 14:48:19.1791 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型39数量0.00
2016-10-28 14:48:19.1791 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型40数量0.00
2016-10-28 14:48:19.1971 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型41数量0.00
2016-10-28 14:48:19.1971 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型42数量0.00
2016-10-28 14:48:19.1971 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型43数量0.00
2016-10-28 14:48:19.2131 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型44数量0.00
2016-10-28 14:48:19.2131 INFO 正常 - 门店：上海宝山盘古路店日期：2016/10/1 0:00:00报表模板第4列数据写入类型45数量0.00
